Average,Upper,Lower,Direction,JOL_Bin,Condition
21.62162162,34.3964779,8.846765339,B,0,No-Highlight
19.24651925,28.25337383,10.23966467,B,10,No-Highlight
19.53931204,33.32073027,5.757893808,B,20,No-Highlight
26.41891892,39.36397527,13.47386256,B,30,No-Highlight
27.8576711,42.04155106,13.67379114,B,40,No-Highlight
30.70249869,45.00932607,16.39567131,B,50,No-Highlight
34.72293704,49.007895,20.43797908,B,60,No-Highlight
39.86657369,55.07786534,24.65528205,B,70,No-Highlight
45.73796232,61.13578627,30.34013838,B,80,No-Highlight
48.1196708,63.63014529,32.60919632,B,90,No-Highlight
48.93617021,64.40316136,33.46917906,B,100,No-Highlight
55,70.62391768,39.37608232,F,0,No-Highlight
49.44444444,64.51579483,34.37309406,F,10,No-Highlight
49.77777778,65.16314835,34.3924072,F,20,No-Highlight
60.88888889,76.396642,45.38113578,F,30,No-Highlight
65.88888889,80.49352037,51.28425741,F,40,No-Highlight
71.51600753,84.85417687,58.17783819,F,50,No-Highlight
73.29378531,87.01897513,59.56859549,F,60,No-Highlight
70.71802773,84.60144476,56.83461071,F,70,No-Highlight
71.84797124,86.34313188,57.35281059,F,80,No-Highlight
75.7168237,88.85074516,62.58290223,F,90,No-Highlight
83.60655738,95.03293804,72.18017671,F,100,No-Highlight
41.66666667,57.08220239,26.25113094,S,0,No-Highlight
45.37037037,61.50328712,29.23745363,S,10,No-Highlight
42.97573436,58.85851321,27.0929555,S,20,No-Highlight
43.63711002,58.44396861,28.83025142,S,30,No-Highlight
43.63711002,59.18317758,28.09104245,S,40,No-Highlight
50.14285714,65.56887606,34.71683823,S,50,No-Highlight
58.47619048,73.88705139,43.06532956,S,60,No-Highlight
65.42063492,79.37399404,51.46727581,S,70,No-Highlight
69.27855842,83.28937526,55.26774157,S,80,No-Highlight
72.13570128,86.80006565,57.4713369,S,90,No-Highlight
80,92.30897842,67.69102158,S,100,No-Highlight
11.11111111,20.75647473,1.465747496,U,0,No-Highlight
17.27588495,29.41051354,5.141256353,U,10,No-Highlight
15.37398305,28.055365,2.692601086,U,20,No-Highlight
12.2333215,19.25047619,5.21616681,U,30,No-Highlight
8.97540295,18.17085484,0,U,40,No-Highlight
11.34026781,21.350827,1.329708631,U,50,No-Highlight
16.42156863,26.87689364,5.966243614,U,60,No-Highlight
12.5,27.80502867,0,U,70,No-Highlight
0,0,0,U,80,No-Highlight
0,0,0,U,90,No-Highlight
0,0,0,U,100,No-Highlight
20.68965517,33.30867642,8.070633926,B,0,Highlight
31.39655172,46.39235602,16.40074743,B,10,Highlight
34.02380952,49.32883819,18.71878086,B,20,Highlight
31.67293233,45.66876752,17.67709714,B,30,Highlight
31.50169945,45.5702614,17.4331375,B,40,Highlight
28.96713724,43.84694302,14.08733146,B,50,Highlight
32.92345661,45.48587047,20.36104275,B,60,Highlight
33.47347737,48.67403363,18.27292111,B,70,Highlight
38.82990907,53.90673496,23.75308317,B,80,Highlight
41.31642091,56.23693492,26.39590691,B,90,Highlight
48.27586207,63.70538014,32.846344,B,100,Highlight
52.77777778,68.27593747,37.27961808,F,0,Highlight
49.6031746,65.32304886,33.88330035,F,10,Highlight
48.17219817,63.52716181,32.81723453,F,20,Highlight
50.74620075,66.28139313,35.21100836,F,30,Highlight
61.37298137,76.18756083,46.55840192,F,40,Highlight
70.52000719,84.55050867,56.4895057,F,50,Highlight
71.47903073,84.68873006,58.26933139,F,60,Highlight
76.82010475,91.24600828,62.39420121,F,70,Highlight
73.35054323,83.81345281,62.88763365,F,80,Highlight
79.73815204,94.41455118,65.06175289,F,90,Highlight
86.9047619,97.29303185,76.51649196,F,100,Highlight
47.05882353,62.8075681,31.31007896,S,0,Highlight
57.76772247,73.26772752,42.26771743,S,10,Highlight
59.72850679,74.80678175,44.65023182,S,20,Highlight
54.60030166,70.10859326,39.09201006,S,30,Highlight
46.9205631,62.48244465,31.35868154,S,40,Highlight
46.51488358,61.71174815,31.31801902,S,50,Highlight
47.49390456,62.92342263,32.06438649,S,60,Highlight
55.8272379,71.27077643,40.38369936,S,70,Highlight
62.77940697,77.33089832,48.22791562,S,80,Highlight
72.0110087,85.77784342,58.24417399,S,90,Highlight
76.78571429,89.7673537,63.80407487,S,100,Highlight
11.05263158,20.67560841,1.429654749,U,0,Highlight
14.74085541,24.42817663,5.053534181,U,10,Highlight
14.4754483,27.26207097,1.688825624,U,20,Highlight
12.05379588,21.46194211,2.645649647,U,30,Highlight
8.209626631,14.21275277,2.206500491,U,40,Highlight
7.354925776,16.87501321,0,U,50,Highlight
6.072874494,14.5625769,0,U,60,Highlight
0,0,0,U,70,Highlight
0,0,0,U,80,Highlight
0,0,0,U,90,Highlight
0,0,0,U,100,Highlight
