Username,B,F,S,U
571a82d06a1c6300094c6a19,50.75,61.75,68.25,1.25
59462a6538e39c0001280168,16.875,24.925,26.375,8
5a19ec537542890001aa7f8e,61.75,61,62.75,18.5
5a9a64376219a30001d3455c,67.125,68.20512821,71,50.475
5ae7f99bd5ec5e000175f097,48.9,66.725,65.3,4.35
5aeabf2c15a9c300011acbc3,45.5,45.075,48.125,21.025
5b8aead9bfaebb0001e18e24,60.6,68.425,63.925,16.33333333
5bf28b48ae1b600001d403dc,51.475,62,65.25,17.5
5c44cd8cf5e3bc00014eb7ba,64.125,69.625,73.84615385,26.25
5c48f53437da740001e8974f,46.175,60.875,63.125,0.625
5c4a28e0b8f0e3000192feda,50,59.75,65,16.5
5c7cf048cdb6aa001667f664,60.675,56.85,69,12.225
5c8839294b0de2000135270f,34.65,56.625,50.1,0.2
5cbc19c1ff41f900131b8297,54.75,57,60.925,47
5ccdc8af8866b10015fff794,62.375,70.375,71.625,20.125
5d41caffac956a00012ae959,46,52.625,60.25,12.75
5d74125de8351c0001f3fb28,38.75,62.275,65.325,5.65
5dcfb1534a113a0c4f2d1b4b,70.82051282,81.175,77.825,5.875
5dfcdb9debfaeb000df91e5a,46.875,36.475,49.725,4.125
5e12202adc79bd8a6c74499b,80.8,85.6,88.525,33.65
5e3363d98451543389de4bf8,66.5,63.875,75.625,4.25
5e6eb94c3ac32e47bd23fa08,55.75,58.125,62.5,9.6
5e8a99dd28310c73e6e02f21,45.85,59.4,69.825,13.2
5e8f9f9e36e20a295de9ae24,58.375,66.5,65.65,17.15
5e948a0f1d2e517dbae5c1ed,79.8,84.3,81.275,35.525
5e949ca2c09edb04cc9f1f3b,79.25,82.25,88.75,39.75
5ea01b9724d981029cad9541,70.025,68.34175,71.7,58.35
5eadbecb12e701466371419c,32.79487179,53.025,46.675,20.1
5ec8ee3bff90f5000995d1b6,46.15,49.675,65.9,5.8
5ecaf44b2be8f90e15524273,54.575,58.3,56.75,44.775
5ecbf17c922a5d090b7dbde2,53.075,46.475,61.775,25.675
5ecd74f6c4e70b0df895c03e,50.65,54.3,60.175,10
5ee37ccb16ad19000c16585e,56.925,59.725,61.35,8.375
5ee3f8e4f8b4750deab84dc3,61.28205128,64,71.25,36.75
5ee9c6eb82a6e436011ecc86,56.25,58.2,61.25,26.45
5ef9ea32170fdf79d44818dc,53.35,56.1,68.075,9.075
5f05e24314e7c90bb6b43cc8,45,43,44.375,33.125
w10057323_amw,61.61538462,69.175,69.02631579,32.075
W975110_JEM,65.75,72,80.75,5.25
