"Username","JOL","Recall"
"59d4a376d1ab390001da2d36",3.05,7.5
"5a08ea4ab921bc0001e1c10a",25,10
"5b7b034558f9c1000163630e",12.025,25
"5bbca1aff1f9ba000141ed51",42.5,2.5
"5c57c0dad3cc6b0001d9f27a",32.875,35
"5cd05f58395afc00178f3918",24.825,20
"5cf89384abbbdf0015b69296",17.15,30
"5d1b9a5c720de60001e3d092",5.55,20
"5ded5708789cb34034edeca0",23.0769230769231,15
"5e6d403dfc5eff000b8329a5",33.525,50
"5e728270b099d308cbe299f7",15.5,15
"5e8ea2396c1dea158c64201f",19.05,20
"5e8f0692facc7d1c12b4c9a1",34.175,0
"5e9f840678eeb111db8791a7",48.775,15
"5ec3eb6fba4d1c07580361d7",9.025,20
"5ecc445313612d13075ef35f",40.7692307692308,5
"5ed193f07a20010f3b111f8f",36.6153846153846,25
"5ede34f5255765051d450b9f",24.125,0
"5ede7a750fcb900e98650b4f",43,82.5
"5edfc2644280d62da10b4add",12.275,17.5
"5ee7a70c55e80504fa3bc6ab",2.25,7.5
"5ee7d5e2b90cb30ab937a8b9",48.25,22.5
"5eeb8a086580b8325095e4c2",34.75,27.5
"5eebefc4011d131823cc946d",24.575,10
"5eed652a24c83c1975669e88",39.75,35
"5eefd5023c8aa10d725232c0",35.975,22.5
"5ef3be64ab97a515fee48860",52,15
"5ef516fac843781447f13719",57.275,2.5
"5efd41a487c4ec1945330e9a",23.775,15
"5eff4daa9f1ee84c8cf687db",27.625,22.5
"5f02af6b48794713aeb4fa60",52.25,10
"5f03144271d0604adc1a5e8b",37.85,2.5
"5f03925ce916352e06a548e5",75.125,7.5
"5f05b44498000b0600d6c910",62.6190476190476,40
"5f0d11458b49e51e2fc65c83",17.5,5
"5f0e14710d314a0b7748f665",5.05,17.5
"5f107c6479c9e00788c3df28",18.525,45
"5f118646a89ac3000b047862",29.4,25
"5f14359cc1b7a74789b1075c",28.6,12.5
"5f181fe8617dcb1ff653b88b",37.575,27.5
