Cue,Answer,Shuffle,Stimuli Notes,Value
TREES,GREEN,BUFFER1,Buffer,1
BASEBALL,CATCHER,BUFFER1,Buffer,2
PEANUT,BUTTER,BUFFER1,Buffer,3
SCARE,HIDE,BUFFER1,Buffer,4
SPACE,JAM,BUFFER1,Buffer,5
JUSTICE                  ,MAROON                   ,Study1,U,6
STRETCH,CLOTH,Study1,U,7
GIVE,STEAK,Study1,U,8
MAZE,ELECTION,Study1,U,9
VEHICLE,CHARM,Study1,U,10
MEAT,OBTAIN,Study1,U,11
CRACKLE,ABLE,Study1,U,12
SHELL,SHAKE,Study1,U,13
LISTEN,FICTION,Study1,U,14
KEYS,JOKE,Study1,U,15
CAKE,CLOTHES,Study1,U,16
NAME                     ,HATE                     ,Study1,U,17
FUZZY,BANG,Study1,U,18
MOAT                     ,CLEAR                    ,Study1,U,19
LEASE                    ,TOIL                     ,Study1,U,20
LOAN                     ,SIGN                     ,Study1,U,21
BOTH                     ,OUNCE                    ,Study1,U,22
TEMPERATURE,MORNING,Study1,U,23
MIRROR,CHILDREN,Study1,U,24
MAIN                     ,SCAR                     ,Study1,U,25
BAT,SHAKY,Study1,U,66
PARCEL,THROAT,Study1,U,67
STRESS,YAM,Study1,U,68
RESIST,GLUE,Study1,U,69
FUTURE,SINCERE,Study1,U,70
DEGREE,CHAIR,Study1,U,71
TAX,OWL,Study1,U,72
THICK,CONTEST,Study1,U,73
PET,MOON,Study1,U,74
BROAD,INFECT,Study1,U,75
INFLATE,DISGUST,Study1,U,76
DIZZY,SWEATER,Study1,U,77
NUMBER,HARD,Study1,U,78
CRAYON,RATE,Study1,U,79
WARN,SEA,Study1,U,80
DIFFICULT,POOR,Study1,U,81
ROSE,NEGLECT,Study1,U,82
RIPE,VERIFY,Study1,U,83
DONKEY,LUSH,Study1,U,84
GRIND,STAND,Study1,U,85
GEESE,GOOSE,BUFFER2,Buffer,86
SHERRIF,POLICE,BUFFER2,Buffer,87
MALT,CHOCOLATE,BUFFER2,Buffer,88
MOON,SPACE,BUFFER2,Buffer,89
THING,STUFF,BUFFER2,Buffer,90
CARROT,POTATO,BUFFER3,Buffer,91
NOODLE,STRING,BUFFER3,Buffer,92
SHRIMP,FISH,BUFFER3,Buffer,93
ICE,FROZEN,BUFFER3,Buffer,94
CAMP,ADVENTURE,BUFFER3,Buffer,95
CLUTTER                  ,PUSHER                   ,Study2,U,96
SACKING                  ,DIETARY                  ,Study2,U,97
HUNGRY,PARK,Study2,U,98
WOMAN,LIFT,Study2,U,99
BELT,SOON,Study2,U,100
FLOOR,DISCOVER,Study2,U,101
Business,Death,Study2,U,102
SIGHT,DEBATE,Study2,U,103
BRONZE                   ,ARTERY                   ,Study2,U,104
HAND,FIX,Study2,U,105
POSITION,MACHINE,Study2,U,106
CAR,HAPPY,Study2,U,107
TUCK                     ,ALLOW                    ,Study2,U,108
LION,ART,Study2,U,109
ACCIDENT,STRONG,Study2,U,110
RIDDLE,SUGAR,Study2,U,111
ADD,VALLEY,Study2,U,112
WOULD                    ,CASH                     ,Study2,U,113
SICK                     ,HIDE                     ,Study2,U,114
VASE                     ,KING                     ,Study2,U,115
NULL,COUGH,Study2,U,156
SMOOTH,OMIT,Study2,U,157
READY,CORN,Study2,U,158
STOMACH,TOWN,Study2,U,159
LAKE,OPINION,Study2,U,160
FLOAT,HARMONY,Study2,U,161
DETECT,FREE,Study2,U,162
PUT,ROLL,Study2,U,163
SLIM,KNOW,Study2,U,164
WASTE,SEDATE,Study2,U,165
ROAD,SCENT,Study2,U,166
SYSTEM,LICK,Study2,U,167
ZOO,THUMB,Study2,U,168
DESIRE,NOISE,Study2,U,169
GUARD,WHEEL,Study2,U,170
PUFF,NUMBER,Study2,U,171
JELLY,NAUGHTY,Study2,U,172
MUTE,WAVE,Study2,U,173
SPELL,BONE,Study2,U,174
SWING,FOG,Study2,U,175
DAYS,WEEKS,BUFFER4,Buffer,176
MONTH,YEAR,BUFFER4,Buffer,177
TOOL,SHED,BUFFER4,Buffer,178
SPRING,MARCH,BUFFER4,Buffer,179
OCTOBER,SPOOKY,BUFFER4,Buffer,180
