cues,length1,targets,length2
JUSTICE,7,MAROON                   ,6
STRETCH,7,CLOTH,5
GIVE,4,STEAK,5
MAZE,4,ELECTION,8
VEHICLE,7,CHARM,5
MEAT,4,OBTAIN,6
CRACKLE,7,ABLE,4
SHELL,5,SHAKE,5
LISTEN,6,FICTION,7
KEYS,4,JOKE,4
CAKE,4,CLOTHES,7
NAME,4,HATE                     ,4
FUZZY,5,BANG,4
MOAT,4,CLEAR                    ,5
LEASE,5,TOIL                     ,4
LOAN,4,SIGN                     ,4
BOTH,4,OUNCE                    ,5
TEMPERATURE,11,MORNING,7
MIRROR,6,CHILDREN,8
MAIN,4,SCAR                     ,4
BAT,3,SHAKY,5
PARCEL,6,THROAT,6
STRESS,6,YAM,3
RESIST,6,GLUE,4
FUTURE,6,SINCERE,7
DEGREE,6,CHAIR,5
TAX,3,OWL,3
THICK,5,CONTEST,7
PET,3,MOON,4
BROAD,5,INFECT,6
INFLATE,7,DISGUST,7
DIZZY,5,SWEATER,7
NUMBER,6,HARD,4
CRAYON,6,RATE,4
WARN,4,SEA,3
DIFFICULT,9,POOR,4
ROSE,4,NEGLECT,7
RIPE,4,VERIFY,6
DONKEY,6,LUSH,4
GRIND,5,STAND,5
CLUTTER,7,PUSHER                   ,7
SACKING,7,DIETARY                  ,7
HUNGRY,6,PARK,4
WOMAN,5,LIFT,4
BELT,4,SOON,4
FLOOR,5,DISCOVER,8
Business,8,Death,5
SIGHT,5,DEBATE,6
BRONZE,6,ARTERY                   ,6
HAND,4,FIX,3
POSITION,8,MACHINE,7
CAR,3,HAPPY,5
TUCK,4,ALLOW                    ,5
LION,4,ART,3
ACCIDENT,8,STRONG,6
RIDDLE,6,SUGAR,5
ADD,3,VALLEY,6
WOULD,5,CASH                     ,4
SICK,4,HIDE                     ,4
VASE,4,KING                     ,4
NULL,4,COUGH,5
SMOOTH,6,OMIT,4
READY,5,CORN,4
STOMACH,7,TOWN,4
LAKE,4,OPINION,7
FLOAT,5,HARMONY,7
DETECT,6,FREE,4
PUT,3,ROLL,4
SLIM,4,KNOW,4
WASTE,5,SEDATE,6
ROAD,4,SCENT,5
SYSTEM,6,LICK,4
ZOO,3,THUMB,5
DESIRE,6,NOISE,5
GUARD,5,WHEEL,5
PUFF,4,NUMBER,6
JELLY,5,NAUGHTY,7
MUTE,4,WAVE,4
SPELL,5,BONE,4
SWING,5,FOG,3
,,,
Mean,5.1625,,5.1
SD,1.504791924,,1.35571925
